article,label
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Query language
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Exploitation
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Object (computer science)
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Concept
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Taxonomy
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Web Ontology Language
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Information
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Debate
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Walk with Me Now
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Revenue recognition
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Property
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Advanced Life Support in Obstetrics
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Language
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Number
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Kimarite
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,RDF Schema
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Software extension
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Military deployment
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Class (computer science)
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Use case
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,SPARQL
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Feasibility
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Functional dependency
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Reasoning
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Research
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Arithmetic
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Logic programming
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Saint Laurent Boulevard
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Treats
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Graph (mathematics)
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Combination
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Ontology language
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Determine
http://data.semanticweb.org/conference/eswc/2013/paper/eswc-2013/118,Introduction
http://data.semanticweb.org/conference/eswc/2009/paper/1,Tag (metadata)
http://data.semanticweb.org/conference/eswc/2009/paper/1,Annotation
http://data.semanticweb.org/conference/eswc/2009/paper/1,Resource
http://data.semanticweb.org/conference/eswc/2009/paper/1,Ontology
http://data.semanticweb.org/conference/eswc/2009/paper/1,Resource (Web)
http://data.semanticweb.org/conference/eswc/2009/paper/1,The Need
http://data.semanticweb.org/conference/eswc/2009/paper/1,Find
http://data.semanticweb.org/conference/eswc/2009/paper/1,Unsupervised learning
http://data.semanticweb.org/conference/eswc/2009/paper/1,Binary relation
http://data.semanticweb.org/conference/eswc/2009/paper/1,Web 2.0
http://data.semanticweb.org/conference/eswc/2009/paper/1,Paper
http://data.semanticweb.org/conference/eswc/2009/paper/1,Different (Kate Ryan album)
http://data.semanticweb.org/conference/eswc/2009/paper/1,Advanced Life Support in Obstetrics
http://data.semanticweb.org/conference/eswc/2009/paper/1,Extract
http://data.semanticweb.org/conference/eswc/2009/paper/1,Folksonomy
http://data.semanticweb.org/conference/eswc/2009/paper/1,User (computing)
http://data.semanticweb.org/conference/eswc/2009/paper/1,Upper ontology (information science)
http://data.semanticweb.org/conference/eswc/2009/paper/1,Information retrieval
http://data.semanticweb.org/conference/eswc/2009/paper/1,Semantics
http://data.semanticweb.org/conference/eswc/2009/paper/1,Navigation
http://data.semanticweb.org/conference/eswc/2009/paper/1,System
http://data.semanticweb.org/conference/eswc/2009/paper/1,Translation
http://data.semanticweb.org/conference/eswc/2009/paper/1,Convenience
http://data.semanticweb.org/conference/eswc/2009/paper/1,WordNet
http://data.semanticweb.org/conference/eswc/2009/paper/1,Keyword (computer programming)
http://data.semanticweb.org/conference/eswc/2009/paper/1,Power (philosophy)
http://data.semanticweb.org/conference/eswc/2009/paper/1,Recently (EP)
http://data.semanticweb.org/conference/eswc/2009/paper/1,Association rule learning
http://data.semanticweb.org/conference/eswc/2009/paper/1,Vocabulary
http://data.semanticweb.org/conference/eswc/2009/paper/1,Way
http://data.semanticweb.org/conference/eswc/2009/paper/1,Shared universe
http://data.semanticweb.org/conference/eswc/2009/paper/1,As One
http://data.semanticweb.org/conference/eswc/2009/paper/1,Hierarchical organization
http://data.semanticweb.org/conference/eswc/2009/paper/1,Common name
http://data.semanticweb.org/conference/eswc/2009/paper/1,Searching
http://data.semanticweb.org/conference/eswc/2009/paper/1,Structure
http://data.semanticweb.org/conference/eswc/2009/paper/1,Application software
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Recommendation
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Gift
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Personalization
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Has Been
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Efficacy
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Solution
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Military deployment
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Automation
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Technology
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,User modeling
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Cultural heritage
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Semantic Web
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Use case
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Research
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,System
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Thus plc
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Museum
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Learning
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Resource
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Concept
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Knowledge
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Mergers and acquisitions
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Software deployment
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Faceted classification
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Medical diagnosis
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Management
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Paper
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Content
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Dialogue
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Implementation
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Arizona's Instrument to Measure Standards
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,Ontology
http://data.semanticweb.org/conference/eswc/2006/paper/aroyo-denaux,User (computing)
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Content
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Holotype
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Mergers and acquisitions
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Various
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Searching
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,E-participation
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Web browser
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Pattern
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Samos Island
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Web 2.0
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Cross-reference
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Paper
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Philosophy
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Community
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Semantic Web
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Application software
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Used good
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Annotation
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Emergence
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Explanation
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Technology
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,System
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/13,Government
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Defined and undefined
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Thus plc
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Arbitrariness
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Subset
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Multiple (mathematics)
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Data
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Web search query
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Attribute (computing)
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Visualization
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Connected space
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Facilitation
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Semantic Web
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Organization
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Binary relation
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Parity (mathematics)
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Tool
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Information
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Human
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Characteristic (algebra)
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Ambiguity
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Perspective (cognitive)
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Protein domain
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Walk with Me Now
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Natural language
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Complex number
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,World Wide Web
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Paper
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Inclusion
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Searching
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Graph (mathematics)
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Morality
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Addition
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Logical possibility
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Infant
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,User (computing)
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Query language
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Interface (computer science)
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Semantics
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Different (Kate Ryan album)
http://data.semanticweb.org/conference/eswc/2010/paper/inuse/14,Voidable
http://data.semanticweb.org/conference/eswc/2009/paper/101,Output
http://data.semanticweb.org/conference/eswc/2009/paper/101,Return to Cookie Mountain
http://data.semanticweb.org/conference/eswc/2009/paper/101,Still
http://data.semanticweb.org/conference/eswc/2009/paper/101,Statistical significance
http://data.semanticweb.org/conference/eswc/2009/paper/101,Better Than
http://data.semanticweb.org/conference/eswc/2009/paper/101,Improve
http://data.semanticweb.org/conference/eswc/2009/paper/101,Strength
http://data.semanticweb.org/conference/eswc/2009/paper/101,Scientific method
http://data.semanticweb.org/conference/eswc/2009/paper/101,Thus plc
http://data.semanticweb.org/conference/eswc/2009/paper/101,Correctness
http://data.semanticweb.org/conference/eswc/2009/paper/101,Machine learning
http://data.semanticweb.org/conference/eswc/2009/paper/101,A-side and B-side
http://data.semanticweb.org/conference/eswc/2009/paper/101,Quality (business)
http://data.semanticweb.org/conference/eswc/2009/paper/101,Dependent and independent variables
http://data.semanticweb.org/conference/eswc/2009/paper/101,Suffering
http://data.semanticweb.org/conference/eswc/2009/paper/101,Impedance matching
http://data.semanticweb.org/conference/eswc/2009/paper/101,Paper
http://data.semanticweb.org/conference/eswc/2009/paper/101,Thunderstorm
http://data.semanticweb.org/conference/eswc/2009/paper/101,Chemical element
http://data.semanticweb.org/conference/eswc/2009/paper/101,Nature
http://data.semanticweb.org/conference/eswc/2009/paper/101,Ontology (information science)
http://data.semanticweb.org/conference/eswc/2009/paper/101,Choice
http://data.semanticweb.org/conference/eswc/2009/paper/101,Median
http://data.semanticweb.org/conference/eswc/2009/paper/101,Voting
http://data.semanticweb.org/conference/eswc/2009/paper/101,The Majority
http://data.semanticweb.org/conference/eswc/2009/paper/101,Despite
http://data.semanticweb.org/conference/eswc/2009/paper/101,Research
http://data.semanticweb.org/conference/eswc/2009/paper/101,Discovery (observation)
http://data.semanticweb.org/conference/eswc/2009/paper/101,Trade-off
http://data.semanticweb.org/conference/eswc/2009/paper/101,The Right
http://data.semanticweb.org/conference/eswc/2009/paper/101,Selection
http://data.semanticweb.org/conference/eswc/2009/paper/101,Precision and recall
http://data.semanticweb.org/conference/eswc/2009/paper/101,Experiment
http://data.semanticweb.org/conference/eswc/2009/paper/101,Problem
http://data.semanticweb.org/conference/eswc/2009/paper/101,Heuristic
http://data.semanticweb.org/conference/eswc/2009/paper/101,Task (computing)
http://data.semanticweb.org/conference/eswc/2009/paper/101,Serious (Duran Duran song)
http://data.semanticweb.org/conference/eswc/2009/paper/101,Different (Kate Ryan album)
http://data.semanticweb.org/conference/eswc/2009/paper/101,Optimization (mathematics)
http://data.semanticweb.org/conference/eswc/2009/paper/101,Learning
http://data.semanticweb.org/conference/eswc/2009/paper/101,Ontology alignment
http://data.semanticweb.org/conference/eswc/2009/paper/101,Species
http://data.semanticweb.org/conference/eswc/2009/paper/101,Kimarite
http://data.semanticweb.org/conference/eswc/2009/paper/101,Given
http://data.semanticweb.org/conference/eswc/2009/paper/101,Information
http://data.semanticweb.org/conference/eswc/2009/paper/101,Used good
http://data.semanticweb.org/conference/eswc/2009/paper/101,Is-a
http://data.semanticweb.org/conference/eswc/2009/paper/101,Matching
http://data.semanticweb.org/conference/eswc/2009/paper/101,Product (business)
http://data.semanticweb.org/conference/eswc/2009/paper/101,Holotype
http://data.semanticweb.org/conference/eswc/2009/paper/101,Law
http://data.semanticweb.org/conference/eswc/2009/paper/101,System
http://data.semanticweb.org/conference/eswc/2009/paper/101,Statistical power
http://data.semanticweb.org/conference/eswc/2009/paper/101,Text corpus
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Frequency (statistics)
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Military deployment
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Requirement
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Sizing
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,AKT
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Adaptive reuse
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Used good
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Winnowing
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Purpose
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Literature
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Affect
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Intend
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Information
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,A Number
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Handle This
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Style guide
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Might magazine
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Walk with Me Now
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Show
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Suggestion
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Application software
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Many, Louisiana
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Ontology
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Reference
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Paper
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Problem
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Helpfulness
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Logical possibility
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Ryan Shupe & the RubberBand
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Gift
http://data.semanticweb.org/conference/eswc/2006/paper/alani-harris,Common species
